,banglaname,banglishnames
10501,আহমেদ সাদেকুর,Ahmed Sadequr
10502,আহমেদ এলমোহামাদি,Ahmed Elmohamady
10503,ইফতেখার সাজ্জাদ,Iftekhar Sajjad
10504,ইমতু রাতিশ,Imtu Ratish
10505,ইয়াগো আসপাস,Iago Aspas
10506,ইয়ান ভের্তোনেন,Jan Vertonghen
10507,ইয়াসিন আরাফাত,Yasin Arafat
10508,ইয়োহান বেনালুয়ান,Yohan Benalouane
10509,ইশা তালওয়ার,Isha Talwar
10510,ইভান রেচেল উড,Evan Rachel Wood
10511,উমেশ যাদব,Umesh Yadav
10512,উষা যাদব,Usha Jadhav
10513,ঋতু পাঠক,Ritu Pathak
10514,এইডেন ইংলিশ,Aiden English
10515,এজে লি,AJ Lee
10516,এলায়াস,Elias
10517,ফারজানা দুআ এলাহি,Farzana Dua Elahe
10518,ওয়াং ফেইফেই,Fei
10519,কঙ্গনা রানাওয়াত,Kangana Ranaut
10520,করিম বেনজেমা,Karim Benzema
10521,কর্ণ শর্মা,Karn Sharma
10522,কলিন মানরো,Colin Munro
10523,কাজী কামরুল ইসলাম,Kazi Kamrul Islam
10524,কানহাইয়া কুমার,Kanhaiya Kumar
10525,এদিনসন কাভানি,Edinson Cavani
10526,ইমরুল কায়েস,Imrul Kayes
10527,কারমেলা,Carmella
10528,কাসিয়ো রামোস,Cássio Ramos
10529,কিরণ পোলার্ড,Kieron Pollard
10530,কিরা গিলবার্ত,Kerrea Gilbert
10531,কৃষ্ণ প্রভা,Krishna Praba
10532,কেভিন মিরায়াস,Kevin Mirallas
10533,কেভিন-প্রিন্স বোয়াটেং,Kevin-Prince Boateng
10534,কোমল ঝা,Komal Jha
10535,কোর্টনি পরিস,Courtney Paris
10536,নাথান কোল্টার-নাইল,Nathan Coulter-Nile
10537,ক্যাগনি লিন কর্টার,Kagney Linn Karter
10538,ক্রিস মরিস,Chris Morris
10539,ক্রেগ কাইজওয়েটার,Craig Kieswetter
10540,মার্ক ক্রেগ,Mark Craig
10541,উইজ খলিফা,Wiz Khalifa
10542,খালিদ বুতাইব,Khalid Boutaïb
10543,খালিদা পোপাল,Khalida Popal
10544,গঞ্জালো ইগুয়াইন,Gonzalo Higuaín
10545,কারেন গিলান,Karen Gillan
10546,রায়ান গুজম্যান,Ryan Guzman
10547,গুরবানি জাজ,Gurbani Judge
10548,গৌতম গুলাটি,Gautam Gulati
10549,গৌরাঙ্গ বিশ্বাস,Gouranga Biswas
10550,গ্যাব্রিয়েল মেরকাদো,Gabriel Mercado
10551,অ্যাশলে গ্রীন,Ashley Greene
10552,গ্রে ড্যামন,Grey Damon
10553,রেজা ঘুচানেজহাদ,Reza Ghoochannejhad
10554,শ্রাবন্তী চট্টোপাধ্যায়,Srabanti Chatterjee
10555,চামারা কাপুগেদারা,Chamara Kapugedera
10556,চামিন্দা বান্দারা,Chaminda Bandara
10557,চার্মি কৌর,Charmy Kaur
10558,চেলসি ম্যানিং,Chelsea Manning
10559,জয় পেরেরা,Joy Perera
10560,জর্জ গটর,Jorge Gotor
10561,জান্দ্রো ওয়াগনার,Sandro Wagner
10562,জাহিদ হাসান এমিলি,Jahid Hasan Ameli
10563,জিজি আদেল,Zizi Adel
10564,জিতু রায়,Jitu Rai
10565,জিম সর্ব,Jim Sarbh
10566,জিশান শাহ,Zishan Shah
10567,জিশান মাকসুদ,Zeeshan Maqsood
10568,জুনায়েদ সিদ্দিকী,Junaid Siddique
10569,জুবায়ের আহমেদ,Jubair Ahmed
10570,জেনা কার্ডম্যান,Zena Cardman
10571,জেনেলিয়া ডি’সুজা,Genelia D\Souza
10572,জেমি লিভার,Jamie Lever
10573,জেরিন খান,Zareen Khan
10574,জো,Jô
10575,জো হার্ট,Joe Hart
10576,জোনাথন কার্টার,Jonathan Carter
10577,জ্যাক এফ্রন,Zac Efron
10578,টিনা দেসাই,Tina Desai
10579,ড্যানি সিম্পসন,Danny Simpson
10580,ড্যানিয়েল প্যানব্যাকার,Danielle Panabaker
10581,হোভানিজ ড্যানিয়েলিয়ান,Hovhannes Danielyan
10582,ড্যাশ ওয়াইল্ডার,Dash Wilder
10583,ড্রিস মের্টেনস,Dries Mertens
10584,তনুময় ঘোষ,Tanumoy Ghosh
10585,তমোয়াকি মাকিনো,Tomoaki Makino
10586,তাফাদজা কামুঙ্গোজি,Tafadzwa Kamungozi
10587,তাসমিন মাহফুজ,Tasmin Mahfuz
10588,দাউদ মালান,Dawid Malan
10589,দাভিদ লুইজ,David Luiz
10590,ধীমান ঘোষ,Dhiman Ghosh
10591,সরফরাজ আহমেদ,Sarfaraz Ahmed
10592,নাওমি,Naomi
10593,নাদিফ চৌধুরী,Nadif Chowdhury
10594,নাদিম আহমেদ,Nadeem Ahmed
10595,নিকিতা রাকাভেৎসা,Nikita Rukavytsya
10596,নেহা শর্মা,Neha Sharma
10597,নাজমুন মুনিরা ন্যান্সি,Nazmun Munira Nancy
10598,পরিণীতা বরঠাকুর,Parineeta Borthakur
10599,পরিধি শর্মা,Paridhi Sharma
10600,তাপসী পান্নু,Taapsee Pannu
10601,পারস খডকা,Paras Khadka
10602,পার্বতী ওমানাকুত্তান,Parvathy Omanakuttan
10603,পিটার সিলার,Pieter Seelaar
10604,জান্নাতুল ফেরদৌস পিয়া,Jannatul Ferdoush Peya
10605,পেদ্রো রোদ্রিগেজ,Pedro
10606,সামান্থা আক্কিনেনি,Samantha Akkineni
10607,প্রিস্টন মমসেন,Preston Mommsen
10608,জেন্না প্রেস্‌লে,Jenna Presley
10609,ফরহাদ হোসেন,Farhad Hossain
10610,ফেদেরিকো ফাসিও,Federico Fazio
10611,ইয়ামিন হক ববি,Bobby
10612,বরুণ ধবন,Varun Dhawan
10613,বার্তোজ বিয়াওকভোস্কি,Bartosz Białkowski
10614,বিকাশ গুপ্তা,Vikas Gupta
10615,বিশ্বনাথ হাওলদার,Bishawnath Halder
10616,বেকি লিঞ্চ,Becky Lynch
10617,বেন কাটিং,Ben Cutting
10618,বেন ডাঙ্ক,Ben Dunk
10619,পূজা বসু,Puja Banerjee
10620,ব্রেই ওয়্যাট,Bray Wyatt
10621,ব্লেক লিভলি,Blake Lively
10622,ব্লেস মাতুইদি,Blaise Matuidi
10623,ভানেসা ওয়াট্‌স,Vanessa Watts
10624,আসাদ ভালা,Asad Vala
10625,ভিক্রান্ত মাসি,Vikrant Massey
10626,ভ্লাদিমির গ্রানেত,Vladimir Granat
10627,মইসেস হেনরিকুইস,Moises Henriques
10628,মধুরিমা,Madhuurima
10629,মনশা পাশা,Mansha Pasha
10630,মনসুর আল-হারবি,Mansoor Al-Harbi
10631,কুন্হু মহম্মদ,Kunhu Muhammed
10632,মাম বিয়াম দিউফ,Mame Biram Diouf
10633,আব্দুল্লাহ আল-মায়ুফ,Abdullah Al-Mayouf
10634,রোভেনা মারকু,Rovena Marku
10635,মারুয়ান ফেলাইনি,Marouane Fellaini
10636,মাসুম খান,Masum Khan
10637,ফজলে মাহমুদ,Fazle Mahmud
10638,মিধি বেনাতিয়া,Medhi Benatia
10639,মিয়া মুকি,Miya Muqi
10640,মিশেল মেলিন,Michelle Maylene
10641,মিষ্টি চক্রবর্তী,Mishti
10642,মিহাল পাজদান,Michał Pazdan
10643,মুনিবা মাজারি,Muniba Mazari
10644,মুসা দেম্বেলে,Mousa Dembélé
10645,মুমতাজ আলী,Mumtaz Ali
10646,হাবিব রহমান,Habib Rahman
10647,অং সান,Aung San
10648,অনিল কুমার ভট্টাচার্য,Anil Kumar Bhattacharya
10649,আ ফ ম আহসানউদ্দিন চৌধুরী,A. F. M. Ahsanuddin Chowdhury
10650,জ্যাক আইভারসন,Jack Iverson
10651,আউগুস্তো পিনোচে,Augusto Pinochet
10652,আকবর হোসেন,Akbar Hussain
10653,আর্থার মিলার,Arthur Miller
10654,আর্থার লিউইস,W. Arthur Lewis
10655,আর্ল উইলবার সাদারল্যান্ড জুনিয়র,Earl Wilbur Sutherland Jr.
10656,ইংরিদ বারিমান,Ingrid Bergman
10657,নরম্যান ইয়ার্ডলি,Norman Yardley
10658,ইসমত চুগতাই,Ismat Chughtai
10659,এক্সেল এবং এইগিল এক্সগিল,Axel and Eigil Axgil
10660,ইজরাইল এপস্টাইন,Israel Epstein
10661,এস রাজারত্নম,S. Rajaratnam
10662,এডমন্ড ওব্রায়েন,Edmond O\Brien
10663,ওয়াল্টার হার্মান শটকি,Walter H. Schottky
10664,অরসন ওয়েলস,Orson Welles
10665,ওলগা কোসাকিওইজ,Olga Kosakiewicz
10666,করম সিং,Karam Singh
10667,কালামান্দালাম কল্যাণীকুট্টি আম্মা,Kalamandalam Kalyanikutty Amma
10668,অ্যান্থনি কুইন,Anthony Quinn
10669,কোন্ডাপল্লী সীতারামাইয়া,Kondapalli Seetharamaiah
10670,ফেন ক্রেসওয়েল,Fen Cresswell
10671,ক্লিফোর্ড গ্লেনউড শাল,Clifford Shull
10672,মোমতাজ আলী খান,Mumtaz Ali Khan
10673,কাজী খালেক,Kazi Khalek
10674,খুশবন্ত সিং,Khushwant Singh
10675,গোলাম ইসহাক খান,Ghulam Ishaq Khan
10676,চার্লস হার্ড টাউনস,Charles H. Townes
10677,চিন্তামণি কর,Chintamoni Kar
10678,জন জর্জ ম্যাক্লয়েড,John George Macleod
10679,জন টুকি,John Tukey
10680,জোসেফ গ্রিনবার্গ,Joseph Greenberg
10681,টিক্কা খান,Tikka Khan
10682,জন ট্রিম,John Trim
10683,ড্যান ডেইলি,Dan Dailey
10684,নরম্যান ফস্টার র‌্যামজে,Norman Foster Ramsey Jr.
10685,নিকোস বেলোয়ানিস,Nikos Beloyannis
10686,আমির আবদুল্লাহ খান নিয়াজী,A. A. K. Niazi
10687,পিটার মিডাওয়ার,Peter Medawar
10688,এদিত পিয়াফ,Édith Piaf
10689,পুপুল জয়াকর,Pupul Jayakar
10690,পুষ্পালতা দাস,Pushpalata Das
10691,প্রতিভা বসু,Protiva Bose
10692,আর্থার ফাগ,Arthur Fagg
10693,ফ্রেড ফ্রির,Fred Freer
10694,ফ্রেড হয়েল,Fred Hoyle
10695,বদরুদ্দীন আহমদ সিদ্দিকী,Badruddin Ahmed Siddiky
10696,টম বার্ট,Tom Burtt
10697,বি জে ভরস্টার,John Vorster
10698,ব্য সুউ,Ba Swe
10699,ডেনিস ব্রুকস,Dennis Brookes
10700,ভাসিলি জেইতসিভ,Vasily Zaitsev
10701,জো ভ্যান ফ্লিট,Jo Van Fleet
10702,মকবুল ফিদা হুসেন,M. F. Husain
10703,মুহাম্মদ ইব্রাহিম খান,Muhammad Ibrahim Khan
10704,মুহাম্মদ ইব্রাহিম জয়ো,Muhammad Ibrahim Joyo
10705,মুহাম্মদ শফী,Muhammad Shafi
10706,মোহাম্মদ নুরুল হক,Mohammad Nurul Haque
10707,রবার্ট হফষ্টাটার,Robert Hofstadter
10708,রিচার্ড হ্যামিং,Richard Hamming
10709,গর্ডন রো,Gordon Rowe
10710,রিং লার্ডনার জুনিয়র,Ring Lardner Jr.
10711,লেস পল,Les Paul
10712,আর্থার লো,Arthur Lowe
10713,শওকত হায়াত খান,Shaukat Hayat Khan
10714,শম্ভু মিত্র,Sombhu Mitra
10715,শম্ভুনাথ দে,Sambhu Nath De
10716,শায়েস্তা সোহরাওয়ার্দী ইকরামউল্লাহ,Shaista Suhrawardy Ikramullah
10717,সন্তোষ চন্দ্র ভট্টাচার্য,Santosh Chandra Bhattacharya
10718,আইদেউ সন্দিকৈ,Aideu Handique
10719,সরোজ দত্ত,Saroj Dutta
10720,সর্দার আখতার,Sardar Akhtar
